Number of qubits,Output,Occurrences
2,'00',17
2,'01',66
2,'10',61
2,'11',880
3,'000',5
3,'001',5
3,'010',6
3,'011',37
3,'100',8
3,'101',65
3,'110',99
3,'111',799
4,'0000',11
4,'0001',7
4,'0010',2
4,'0011',9
4,'0100',10
4,'0101',16
4,'0110',16
4,'0111',77
4,'1000',21
4,'1001',38
4,'1010',16
4,'1011',57
4,'1100',63
4,'1101',63
4,'1110',127
4,'1111',491
5,'00000',23
5,'00001',21
5,'10000',56
5,'10001',54
5,'10010',134
5,'10011',99
5,'10100',24
5,'10101',43
5,'10110',36
5,'10111',42
5,'11000',17
5,'11001',22
5,'11010',30
5,'11011',24
5,'11100',5
5,'11101',9
5,'11110',14
5,'11111',16
5,'00010',74
5,'00011',68
5,'00100',20
5,'00101',20
5,'00110',22
5,'00111',27
5,'01000',11
5,'01001',18
5,'01010',23
5,'01011',21
5,'01100',13
5,'01101',14
5,'01110',11
5,'01111',13
6,'000000',28
6,'000001',26
6,'010000',25
6,'010001',9
6,'010010',24
6,'010011',15
6,'010100',16
6,'010101',11
6,'010110',14
6,'010111',12
6,'011000',28
6,'011001',17
6,'011010',16
6,'011011',10
6,'011100',23
6,'011101',5
6,'011110',17
6,'011111',11
6,'000010',18
6,'100000',18
6,'100001',19
6,'100010',19
6,'100011',15
6,'100100',19
6,'100101',13
6,'100110',15
6,'100111',10
6,'101000',31
6,'101001',12
6,'101010',21
6,'101011',8
6,'101100',16
6,'101101',20
6,'101110',16
6,'101111',8
6,'000011',10
6,'110000',21
6,'110001',15
6,'110010',23
6,'110011',21
6,'110100',13
6,'110101',9
6,'110110',12
6,'110111',9
6,'111000',15
6,'111001',17
6,'111010',19
6,'111011',10
6,'111100',11
6,'111101',14
6,'111110',8
6,'111111',8
6,'000100',15
6,'000101',15
6,'000110',19
6,'000111',14
6,'001000',28
6,'001001',20
6,'001010',17
6,'001011',17
6,'001100',18
6,'001101',11
6,'001110',11
6,'001111',19
7,'0000000',3
7,'0000001',7
7,'0010000',7
7,'0010001',11
7,'0010010',4
7,'0010011',6
7,'0010100',4
7,'0010101',7
7,'0010110',5
7,'0010111',6
7,'0011000',8
7,'0011001',1
7,'0011010',3
7,'0011011',18
7,'0011100',5
7,'0011101',7
7,'0011110',7
7,'0011111',5
7,'0000010',6
7,'0100000',4
7,'0100001',12
7,'0100010',7
7,'0100011',4
7,'0100100',4
7,'0100101',11
7,'0100110',5
7,'0100111',7
7,'0101000',17
7,'0101001',16
7,'0101010',15
7,'0101011',19
7,'0101100',13
7,'0101101',21
7,'0101110',17
7,'0101111',23
7,'0000011',8
7,'0110000',8
7,'0110001',13
7,'0110010',6
7,'0110011',15
7,'0110100',5
7,'0110101',10
7,'0110110',4
7,'0110111',7
7,'0111000',6
7,'0111001',8
7,'0111010',9
7,'0111011',14
7,'0111100',8
7,'0111101',6
7,'0111110',3
7,'0111111',8
7,'0000100',3
7,'1000000',4
7,'1000001',9
7,'1000010',7
7,'1000011',5
7,'1000100',5
7,'1000101',4
7,'1000110',4
7,'1000111',6
7,'1001000',2
7,'1001001',7
7,'1001010',12
7,'1001011',8
7,'1001100',5
7,'1001101',6
7,'1001110',9
7,'1001111',11
7,'0000101',4
7,'1010000',7
7,'1010001',6
7,'1010010',2
7,'1010011',8
7,'1010100',5
7,'1010101',7
7,'1010110',3
7,'1010111',7
7,'1011000',7
7,'1011001',10
7,'1011010',6
7,'1011011',15
7,'1011100',9
7,'1011101',11
7,'1011110',8
7,'1011111',13
7,'0000110',5
7,'1100000',6
7,'1100001',7
7,'1100011',5
7,'1100100',2
7,'1100101',4
7,'1100110',6
7,'1100111',9
7,'1101000',3
7,'1101001',15
7,'1101010',9
7,'1101011',11
7,'1101100',7
7,'1101101',8
7,'1101110',13
7,'1101111',21
7,'0000111',3
7,'1110000',3
7,'1110001',5
7,'1110010',5
7,'1110011',7
7,'1110100',4
7,'1110101',5
7,'1110110',1
7,'1110111',14
7,'1111000',9
7,'1111001',10
7,'1111010',9
7,'1111011',17
7,'1111100',5
7,'1111101',11
7,'1111110',12
7,'1111111',16
7,'0001000',4
7,'0001001',7
7,'0001010',8
7,'0001011',14
7,'0001100',8
7,'0001101',11
7,'0001110',5
7,'0001111',12
8,'00000000',3
8,'00000001',8
8,'00010000',6
8,'00010001',3
8,'00010010',3
8,'00010011',4
8,'00010100',7
8,'00010101',7
8,'00010110',5
8,'00010111',2
8,'00011000',6
8,'00011001',4
8,'00011010',3
8,'00011011',4
8,'00011100',7
8,'00011101',2
8,'00011110',5
8,'00011111',3
8,'00000010',3
8,'00100000',6
8,'00100001',7
8,'00100011',6
8,'00100100',6
8,'00100101',3
8,'00100110',5
8,'00100111',1
8,'00101000',12
8,'00101001',7
8,'00101010',4
8,'00101011',3
8,'00101100',2
8,'00101101',3
8,'00101111',5
8,'00000011',6
8,'00110000',6
8,'00110001',4
8,'00110010',5
8,'00110011',6
8,'00110100',4
8,'00110101',5
8,'00110110',3
8,'00110111',3
8,'00111000',2
8,'00111001',4
8,'00111010',2
8,'00111011',3
8,'00111100',2
8,'00111101',5
8,'00111110',4
