Number of qubits,Output,Occurrences
2,'00',1014
2,'01',4
2,'10',6
3,'000',1007
3,'001',8
3,'010',5
3,'100',4
4,'0000',968
4,'0001',6
4,'0010',7
4,'0100',9
4,'1000',32
4,'1001',1
4,'1010',1
5,'00000',410
5,'00001',6
5,'10000',40
5,'10010',34
5,'10011',2
5,'10100',7
5,'10101',1
5,'10110',5
5,'11000',4
5,'00010',299
5,'00011',6
5,'00100',62
5,'00101',2
5,'00110',36
5,'00111',2
5,'01000',59
5,'01001',4
5,'01010',31
5,'01011',1
5,'01100',6
5,'01110',7
6,'000000',457
6,'000001',90
6,'010000',84
6,'010001',27
6,'010010',4
6,'010011',1
6,'010100',19
6,'010101',5
6,'011000',10
6,'011001',5
6,'011010',1
6,'011100',2
6,'000010',7
6,'100000',27
6,'100001',11
6,'100010',1
6,'100100',10
6,'100101',4
6,'100110',1
6,'101000',7
6,'101001',3
6,'101011',1
6,'101100',1
6,'110000',6
6,'111000',1
6,'000100',113
6,'000101',21
6,'000110',3
6,'001000',63
6,'001001',16
6,'001010',1
6,'001100',17
6,'001101',4
6,'001110',1
7,'0000000',325
7,'0000001',66
7,'0010000',24
7,'0010001',2
7,'0010010',3
7,'0010011',1
7,'0010100',16
7,'0010101',3
7,'0010110',2
7,'0011000',1
7,'0011001',1
7,'0011100',2
7,'0011110',2
7,'0000010',29
7,'0100000',3
7,'0100001',2
7,'0100100',6
7,'0101000',6
7,'0101100',1
7,'0000011',4
7,'0000100',229
7,'1000000',5
7,'1000001',3
7,'1000100',3
7,'1000110',2
7,'1001000',1
7,'1001001',1
7,'1001010',2
7,'1001100',2
7,'0000101',36
7,'0000110',31
7,'0000111',3
7,'0001000',102
7,'0001001',16
7,'0001010',9
7,'0001011',2
7,'0001100',60
7,'0001101',8
7,'0001110',8
7,'0001111',2
8,'00000000',408
8,'00000001',33
8,'00010000',46
8,'00010001',3
8,'00010010',2
8,'00010100',4
8,'00011000',4
8,'00011100',2
8,'00000010',7
8,'00100000',10
8,'00100100',5
8,'00101000',1
8,'00000011',1
8,'00110000',1
8,'00000100',118
8,'01000000',98
8,'01000001',12
8,'01000100',26
8,'01000101',5
8,'01001000',13
8,'01001001',1
8,'01001100',1
8,'00000101',8
8,'01010000',6
8,'01010100',3
8,'01011100',1
8,'00000110',3
8,'01100000',5
8,'01100100',1
8,'00001000',47
8,'10000000',68
8,'10000001',6
8,'10000100',15
8,'10000101',1
8,'10001000',3
8,'10001001',1
8,'10001101',1
8,'00001001',7
8,'10010000',7
8,'10010001',1
8,'10010100',1
8,'10011000',1
8,'00001010',1
8,'10100000',1
8,'00001100',11
8,'11000000',13
8,'11000001',1
8,'11000011',1
8,'11000100',1
8,'11000101',2
8,'11001000',1
8,'00001101',1
8,'11010000',2
8,'11010001',1
8,'11100100',1
9,'000000000',335
9,'000000001',68
9,'000010000',61
9,'100000000',37
9,'100000001',7
9,'100000010',2
9,'100000011',1
9,'100000100',9
9,'100000101',2
9,'100001000',8
9,'100001001',3
9,'100001010',2
9,'100001100',6
9,'100001101',1
9,'000010001',7
9,'100010000',5
9,'100010001',1
9,'100010100',1
